chemicalParameter,units,PFHxS,PFOS,PFOA,PFNA,PFDA,PFUA,Notes
Log_Kow_COSMOtherm,,5.2,6.43,5.3,5.92,6.5,7.15,PFHxS visually estimated from figure in Wang et al. 2013; also consistent with about 0.6 log unit difference for each C in the chain length
pKa_Armitage,,0,0,1,1,1,1,
log_Kpw_Allendorf,,4.81,4.67,4.2,4.32,4.73,4.6,
log_Dmw_droge,,3.82,4.88,3.51,4.04,4.63,5.22,
E_D_Martin2003,,0.7,1,0.59,1,1,1,
E_D_Goeritz,,0.558,0.721,0.138,0.522,0.65,0.75,
E_W_Martin10,,0.00079,0.0676567,0.000676567,0.004851,0.037,0.1532,
log_Koc_Munoz,,3.7,4.34,4.05,4.38,4.58,4.99,
krkb_ratio,,140.201,0.264,11.25,0.794,0.177,0.012,
chemID,,6,1,8,9,10,11,
