,Sed,Phy,Cop,Mys,Gam,Rag,WSh,Gob,Acy,Spr,Sol,Fln,CSb
Phy,0,0,0,0,0,0,0,0,0,0,0,0,0
Cop,0,1,0,0,0,0,0,0,0,0,0,0,0
Mys,0.1,0.45,0.45,0,0,0,0,0,0,0,0,0,0
Gam,0.3,0.35,0.35,0,0,0,0,0,0,0,0,0,0
Rag,0.9,0.05,0.05,0,0,0,0,0,0,0,0,0,0
WSh,0,0.3,0.3,0.4,0,0,0,0,0,0,0,0,0
Gob,0,0.01,0.09,0.52,0.18,0.09,0.11,0,0,0,0,0,0
Acy,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0
Spr,0,0.05,0.995,0,0,0,0,0,0,0,0,0,0
Sol,0,0,0,0,0.01,0.95,0.04,0,0,0,0,0,0
Fln,0,0.01,0,0.001,0.06,0.903,0.026,0,0,0,0,0,0
CSb,0,0,0.003,0.007,0.32,0.01,0.472,0,0.047,0,0.141,0,0
